iter	RMSE
0	1.125223685
1	1.080158745
2	1.037852088
3	0.9980959131
4	0.9607432885
5	0.9257772967
6	0.8929711363
7	0.8623207642
8	0.8336206021
9	0.8068777015
10	0.7819724352
11	0.7587144586
12	0.7370982166
13	0.7170397552
14	0.6984032356
15	0.6811477141
16	0.6651680326
17	0.6504279649
18	0.6368135625
19	0.6242776829
20	0.6126916163
21	0.6020582434
22	0.5922915431
23	0.5832981557
24	0.5750797209
25	0.5675544595
26	0.5606580824
27	0.5543440937
28	0.5485966778
29	0.543368909
30	0.5385946239
31	0.534234135
32	0.5302545638
33	0.5266334026
34	0.5233542102
35	0.5203658285
36	0.5176597487
37	0.5151677327
38	0.5129260555
39	0.5108864213
40	0.509031088
41	0.5073370499
42	0.5058105193
43	0.5044244482
44	0.5031577041
45	0.5020211813
46	0.5009978067
47	0.5000630859
48	0.4992111117
49	0.498442165
50	0.4977412541
51	0.4970949431
52	0.4965150171
53	0.495988433
54	0.4955130836
55	0.4950788854
56	0.4946805278
57	0.4943292611
58	0.4940037474
59	0.4937100845
60	0.4934331528
61	0.4931882405
62	0.4929736012
63	0.4927707679
64	0.4925883619
65	0.4924187454
66	0.4922687491
67	0.4921302169
68	0.4920047518
69	0.491888253
70	0.4917844704
71	0.4916885469
72	0.4915994172
73	0.4915163864
74	0.4914400337
75	0.4913721793
76	0.4913122367
77	0.491252425
78	0.4911991701
79	0.4911455868
80	0.4910984991
81	0.4910557975
82	0.4910156825
83	0.4909760042
84	0.4909439156
85	0.4909170313
86	0.4908869009
87	0.490856019
88	0.4908295034
89	0.4908070513
90	0.4907851942
91	0.4907637523
92	0.4907471502
93	0.4907294841
94	0.4907130936
95	0.4906985472
96	0.4906833131
97	0.4906693021
98	0.490655325
99	0.4906424592
100	0.4906292601
101	0.4906170207
102	0.4906085808
103	0.4905986762
104	0.4905923749
105	0.4905839286
106	0.4905740456
107	0.4905656281
108	0.4905593447
109	0.4905505052
110	0.4905420082
111	0.4905355148
112	0.4905295005
113	0.4905231077
114	0.4905156361
115	0.490511301
116	0.4905053581
117	0.4904991133
118	0.4904933459
119	0.490488843
120	0.4904828286
121	0.4904760048
122	0.4904726652
123	0.4904675394
124	0.4904650749
125	0.4904605988
126	0.4904572174
127	0.4904526352
128	0.4904484058
129	0.4904439465
130	0.490439808
131	0.4904363403
132	0.4904332896
133	0.4904302664
134	0.4904270313
135	0.4904244228
136	0.4904211002
137	0.4904184832
138	0.4904159866
139	0.490413784
140	0.4904122242
141	0.4904109163
142	0.4904079707
143	0.4904053524
144	0.4904035915
145	0.4903999024
146	0.490397801
147	0.4903955593
148	0.4903924568
149	0.4903897621
150	0.4903871337
151	0.4903846474
152	0.4903823481
153	0.4903804875
154	0.4903778225
155	0.4903758191
156	0.4903732576
157	0.4903722177
158	0.4903714059
159	0.4903683933
160	0.4903652112
161	0.4903637612
162	0.4903615044
163	0.490360603
164	0.4903585957
165	0.4903567597
166	0.4903545646
167	0.4903524825
168	0.4903524389
169	0.4903508552
170	0.4903499599
171	0.4903484792
172	0.4903470937
173	0.4903452305
174	0.4903451979
175	0.4903432517
176	0.4903432141
177	0.4903407267
178	0.4903402309
179	0.4903389461
180	0.4903378317
181	0.4903359696
182	0.4903346385
183	0.490334054
184	0.4903326341
185	0.4903314312
186	0.4903304965
187	0.4903291235
188	0.4903283231
189	0.4903273406
190	0.4903264932
191	0.4903257596
192	0.4903252554
193	0.4903245996
194	0.4903233614
195	0.4903228773
196	0.4903217864
197	0.4903211804
198	0.4903208453
199	0.490320598
200	0.4903195218
201	0.490319086
202	0.4903173256
203	0.49031731
204	0.490316167
205	0.4903153549
206	0.4903147473
207	0.4903135592
208	0.4903127864
209	0.4903124167
210	0.4903118814
211	0.4903118477
212	0.4903113913
213	0.4903103522
214	0.4903097972
215	0.4903092076
216	0.4903071685
217	0.4903065733
218	0.4903058268
219	0.4903046393
220	0.4903045461
221	0.4903039286
222	0.4903021676
223	0.4903012143
224	0.4903007571
225	0.4903001546
226	0.4902992255
